ID;Vyrobce;Model;Typ;Puvod;Nahon;Cena_prodej;Cena_autosalon;Motor;Valce;Horsepower;Mesto_MPG;Dalnice_MPG;Vaha;Delka
79;Chevrolet;Malibu LT 4dr;Sedan;USA;Front;23,5;21,6;3,5;6,0;200,0;23,0;32,0;3315,0;188,0
80;Chevrolet;Monte Carlo SS 2dr;Sedan;USA;Front;24,2;22,2;3,8;6,0;200,0;18,0;28,0;3434,0;198,0
81;Chevrolet;Astro;Sedan;USA;All;26,4;24,0;4,3;6,0;190,0;14,0;17,0;4605,0;190,0
82;Chevrolet;Venture LS;Sedan;USA;Front;27,0;24,5;3,4;6,0;185,0;19,0;26,0;3699,0;187,0
83;Chevrolet;Corvette 2dr;Sports;USA;Rear;44,5;39,1;5,7;8,0;350,0;18,0;25,0;3246,0;180,0
84;Chevrolet;Corvette convertible 2dr;Sports;USA;Rear;51,5;45,2;5,7;8,0;350,0;18,0;25,0;3248,0;180,0
85;Chevrolet;Avalanche 1500;Truck;USA;All;36,1;31,7;5,3;8,0;295,0;14,0;18,0;5678,0;222,0
86;Chevrolet;Colorado Z85;Truck;USA;All;18,8;17,1;2,8;4,0;175,0;18,0;23,0;3623,0;192,0
87;Chevrolet;Silverado 1500 Regular Cab;Truck;USA;Rear;20,3;18,5;4,3;6,0;200,0;15,0;21,0;4142,0;206,0
88;Chevrolet;Silverado SS;Truck;USA;All;40,3;35,4;6,0;8,0;300,0;13,0;17,0;4804,0;238,0
89;Chevrolet;SSR;Truck;USA;Rear;42,0;39,3;5,3;8,0;300,0;16,0;19,0;4760,0;191,0
90;Chevrolet;Malibu Maxx LS;Wagon;USA;Front;22,2;20,4;3,5;6,0;200,0;22,0;30,0;3458,0;188,0
91;Chrysler;PT Cruiser 4dr;Sedan;USA;Front;18,0;16,9;2,4;4,0;150,0;22,0;29,0;3101,0;169,0
92;Chrysler;PT Cruiser Limited 4dr;Sedan;USA;Front;22,0;20,6;2,4;4,0;150,0;22,0;29,0;3105,0;169,0
93;Chrysler;Sebring 4dr;Sedan;USA;Front;19,1;17,8;2,4;4,0;150,0;22,0;30,0;3173,0;191,0
94;Chrysler;Sebring Touring 4dr;Sedan;USA;Front;21,8;20,3;2,7;6,0;200,0;21,0;28,0;3222,0;191,0
95;Chrysler;300M 4dr;Sedan;USA;Front;29,9;27,8;3,5;6,0;250,0;18,0;27,0;3581,0;198,0
96;Chrysler;Concorde LX 4dr;Sedan;USA;Front;24,1;22,5;2,7;6,0;200,0;21,0;29,0;3479,0;208,0
97;Chrysler;Concorde LXi 4dr;Sedan;USA;Front;26,9;24,9;3,5;6,0;232,0;19,0;27,0;3548,0;208,0
98;Chrysler;PT Cruiser GT 4dr;Sedan;USA;Front;26,0;24,2;2,4;4,0;220,0;21,0;27,0;3217,0;169,0
99;Chrysler;Sebring convertible 2dr;Sedan;USA;Front;25,2;23,5;2,4;4,0;150,0;22,0;30,0;3357,0;194,0
100;Chrysler;300M Special Edition 4dr;Sedan;USA;Front;33,3;30,9;3,5;6,0;255,0;18,0;27,0;3650,0;198,0
101;Chrysler;Sebring Limited convertible 2dr;Sedan;USA;Front;31,0;28,6;2,7;6,0;200,0;21,0;28,0;3448,0;194,0
102;Chrysler;Town and Country LX;Sedan;USA;Front;27,5;25,4;3,3;6,0;180,0;19,0;26,0;4068,0;201,0
103;Chrysler;Town and Country Limited;Sedan;USA;Front;38,4;35,1;3,8;6,0;215,0;18,0;25,0;4331,0;201,0
104;Chrysler;Crossfire 2dr;Sports;USA;Rear;34,5;32,0;3,2;6,0;215,0;17,0;25,0;3060,0;160,0
105;Chrysler;Pacifica;Wagon;USA;Rear;31,2;28,7;3,5;6,0;250,0;17,0;23,0;4675,0;199,0
106;Dodge;Durango SLT;SUV;USA;All;32,2;29,5;4,7;8,0;230,0;15,0;21,0;4987,0;201,0
107;Dodge;Neon SE 4dr;Sedan;USA;Front;13,7;12,8;2,0;4,0;132,0;29,0;36,0;2581,0;174,0
108;Dodge;Neon SXT 4dr;Sedan;USA;Front;15,0;14,1;2,0;4,0;132,0;29,0;36,0;2626,0;174,0
109;Dodge;Intrepid SE 4dr;Sedan;USA;Front;22,0;20,5;2,7;6,0;200,0;21,0;29,0;3469,0;204,0
110;Dodge;Stratus SXT 4dr;Sedan;USA;Front;18,8;17,5;2,4;4,0;150,0;21,0;28,0;3182,0;191,0
111;Dodge;Stratus SE 4dr;Sedan;USA;Front;20,2;18,8;2,4;4,0;150,0;21,0;28,0;3175,0;191,0
112;Dodge;Intrepid ES 4dr;Sedan;USA;Front;24,9;23,1;3,5;6,0;232,0;18,0;27,0;3487,0;204,0
113;Dodge;Caravan SE;Sedan;USA;Front;21,8;20,5;2,4;4,0;150,0;20,0;26,0;3862,0;189,0
114;Dodge;Grand Caravan SXT;Sedan;USA;All;32,7;29,8;3,8;6,0;215,0;18,0;25,0;4440,0;201,0
115;Dodge;Viper SRT-10 convertible 2dr;Sports;USA;Rear;81,8;74,5;8,3;10,0;500,0;12,0;20,0;3410,0;176,0
116;Dodge;Dakota Regular Cab;Truck;USA;Rear;17,6;16,3;3,7;6,0;210,0;16,0;22,0;3714,0;193,0
117;Dodge;Dakota Club Cab;Truck;USA;Rear;20,3;18,7;3,7;6,0;210,0;16,0;22,0;3829,0;219,0
118;Dodge;Ram 1500 Regular Cab ST;Truck;USA;Rear;20,2;18,1;3,7;6,0;215,0;16,0;21,0;4542,0;208,0
119;Ford;Excursion 6.8 XLT;SUV;USA;All;41,5;36,5;6,8;10,0;310,0;10,0;13,0;7190,0;227,0
120;Ford;Expedition 4.6 XLT;SUV;USA;Front;34,6;30,5;4,6;8,0;232,0;15,0;19,0;5000,0;206,0
121;Ford;Explorer XLT V6;SUV;USA;All;29,7;27,0;4,0;6,0;210,0;15,0;20,0;4463,0;190,0
122;Ford;Escape XLS;SUV;USA;All;22,5;20,9;3,0;6,0;201,0;18,0;23,0;3346,0;173,0
123;Ford;Focus ZX3 2dr hatch;Sedan;USA;Front;13,3;12,5;2,0;4,0;130,0;26,0;33,0;2612,0;168,0
124;Ford;Focus LX 4dr;Sedan;USA;Front;13,7;12,9;2,0;4,0;110,0;27,0;36,0;2606,0;168,0
125;Ford;Focus SE 4dr;Sedan;USA;Front;15,5;14,5;2,0;4,0;130,0;26,0;33,0;2606,0;168,0
126;Ford;Focus ZX5 5dr;Sedan;USA;Front;15,6;14,6;2,0;4,0;130,0;26,0;33,0;2691,0;168,0
127;Ford;Focus SVT 2dr;Sedan;USA;Front;19,1;17,9;2,0;4,0;170,0;21,0;28,0;2750,0;168,0
128;Ford;Taurus LX 4dr;Sedan;USA;Front;20,3;18,9;3,0;6,0;155,0;20,0;27,0;3306,0;198,0
129;Ford;Taurus SES Duratec 4dr;Sedan;USA;Front;22,7;20,9;3,0;6,0;201,0;19,0;26,0;3313,0;198,0
130;Ford;Crown Victoria 4dr;Sedan;USA;Rear;24,3;22,9;4,6;8,0;224,0;17,0;25,0;4057,0;212,0
131;Ford;Crown Victoria LX 4dr;Sedan;USA;Rear;27,4;25,1;4,6;8,0;224,0;17,0;25,0;4057,0;212,0
132;Ford;Crown Victoria LX Sport 4dr;Sedan;USA;Rear;30,3;27,8;4,6;8,0;239,0;17,0;25,0;4057,0;212,0
133;Ford;Freestar SE;Sedan;USA;Front;26,9;24,5;3,9;6,0;193,0;17,0;23,0;4275,0;201,0
134;Ford;Mustang 2dr (convertible);Sports;USA;Rear;18,3;16,9;3,8;6,0;193,0;20,0;29,0;3290,0;183,0
135;Ford;Mustang GT Premium convertible 2dr;Sports;USA;Rear;29,4;26,9;4,6;8,0;260,0;17,0;25,0;3347,0;183,0
136;Ford;Thunderbird Deluxe convert w/hardtop 2d;Sports;USA;Front;37,5;34,5;3,9;8,0;280,0;17,0;24,0;3780,0;186,0
137;Ford;F-150 Regular Cab XL;Truck;USA;Rear;22,0;19,5;4,6;8,0;231,0;15,0;19,0;4788,0;211,0
138;Ford;F-150 Supercab Lariat;Truck;USA;All;33,5;29,4;5,4;8,0;300,0;14,0;18,0;5464,0;218,0
139;Ford;Ranger 2.3 XL Regular Cab;Truck;USA;Rear;14,4;13,7;2,3;4,0;143,0;24,0;29,0;3028,0;188,0
140;Ford;Focus ZTW;Wagon;USA;Front;17,5;16,4;2,0;4,0;130,0;26,0;33,0;2702,0;178,0
141;Ford;Taurus SE;Wagon;USA;Front;22,3;20,5;3,0;6,0;155,0;19,0;26,0;3497,0;198,0
142;GMC;Envoy XUV SLE;SUV;USA;Front;31,9;28,9;4,2;6,0;275,0;15,0;19,0;4945,0;208,0
143;GMC;Yukon 1500 SLE;SUV;USA;Front;35,7;31,4;4,8;8,0;285,0;16,0;19,0;5042,0;199,0
144;GMC;Yukon XL 2500 SLT;SUV;USA;All;46,3;40,5;6,0;8,0;325,0;13,0;17,0;6133,0;219,0
145;GMC;Safari SLE;Sedan;USA;Rear;25,6;23,2;4,3;6,0;190,0;16,0;20,0;4309,0;190,0
146;GMC;Canyon Z85 SL Regular Cab;Truck;USA;Rear;16,5;14,9;2,8;4,0;175,0;18,0;25,0;3351,0;192,0
147;GMC;Sierra Extended Cab 1500;Truck;USA;Rear;25,7;22,6;4,8;8,0;285,0;17,0;20,0;4548,0;230,0
148;GMC;Sierra HD 2500;Truck;USA;All;29,3;25,8;6,0;8,0;300,0;13,0;18,0;5440,0;222,0
149;GMC;Sonoma Crew Cab;Truck;USA;All;25,4;23,0;4,3;6,0;190,0;15,0;19,0;4083,0;208,0
150;Honda;Civic Hybrid 4dr manual (gas/electric);Hybrid;Asia;Front;20,1;18,5;1,4;4,0;93,0;46,0;51,0;2732,0;175,0
151;Honda;Insight 2dr (gas/electric);Hybrid;Asia;Front;19,1;17,9;2,0;3,0;73,0;60,0;66,0;1850,0;155,0
152;Honda;Pilot LX;SUV;Asia;All;27,6;24,8;3,5;6,0;240,0;17,0;22,0;4387,0;188,0
153;Honda;CR-V LX;SUV;Asia;All;19,9;18,4;2,4;4,0;160,0;21,0;25,0;3258,0;179,0
154;Honda;Element LX;SUV;Asia;All;18,7;17,3;2,4;4,0;160,0;21,0;24,0;3468,0;167,0
155;Honda;Civic DX 2dr;Sedan;Asia;Front;13,3;12,2;1,7;4,0;115,0;32,0;38,0;2432,0;175,0
156;Honda;Civic HX 2dr;Sedan;Asia;Front;14,2;13,0;1,7;4,0;117,0;36,0;44,0;2500,0;175,0
157;Honda;Civic LX 4dr;Sedan;Asia;Front;15,9;14,5;1,7;4,0;115,0;32,0;38,0;2513,0;175,0
158;Honda;Accord LX 2dr;Sedan;Asia;Front;19,9;17,9;2,4;4,0;160,0;26,0;34,0;2994,0;188,0
159;Honda;Accord EX 2dr;Sedan;Asia;Front;22,3;20,1;2,4;4,0;160,0;26,0;34,0;3047,0;188,0
160;Honda;Civic EX 4dr;Sedan;Asia;Front;17,8;16,3;1,7;4,0;127,0;32,0;37,0;2601,0;175,0
161;Honda;Civic Si 2dr hatch;Sedan;Asia;Front;19,5;17,8;2,0;4,0;160,0;26,0;30,0;2782,0;166,0
162;Honda;Accord LX V6 4dr;Sedan;Asia;Front;23,8;21,4;3,0;6,0;240,0;21,0;30,0;3349,0;190,0
163;Honda;Accord EX V6 2dr;Sedan;Asia;Front;27,0;24,3;3,0;6,0;240,0;21,0;30,0;3294,0;188,0
164;Honda;Odyssey LX;Sedan;Asia;Front;25,0;22,5;3,5;6,0;240,0;18,0;25,0;4310,0;201,0
165;Honda;Odyssey EX;Sedan;Asia;Front;27,5;24,7;3,5;6,0;240,0;18,0;25,0;4365,0;201,0
166;Honda;S2000 convertible 2dr;Sports;Asia;Rear;33,3;30,0;2,2;4,0;240,0;20,0;25,0;2835,0;162,0
167;Hummer;H2;SUV;USA;All;50,0;45,8;6,0;8,0;316,0;10,0;12,0;6400,0;190,0
168;Hyundai;Santa Fe GLS;SUV;Asia;Front;21,6;20,2;2,7;6,0;173,0;20,0;26,0;3549,0;177,0
169;Hyundai;Accent 2dr hatch;Sedan;Asia;Front;10,5;10,1;1,6;4,0;103,0;29,0;33,0;2255,0;167,0
170;Hyundai;Accent GL 4dr;Sedan;Asia;Front;11,8;11,1;1,6;4,0;103,0;29,0;33,0;2290,0;167,0
171;Hyundai;Accent GT 2dr hatch;Sedan;Asia;Front;11,9;11,2;1,6;4,0;103,0;29,0;33,0;2339,0;167,0
172;Hyundai;Elantra GLS 4dr;Sedan;Asia;Front;13,8;12,8;2,0;4,0;138,0;26,0;34,0;2635,0;178,0
173;Hyundai;Elantra GT 4dr;Sedan;Asia;Front;15,4;14,2;2,0;4,0;138,0;26,0;34,0;2635,0;178,0
174;Hyundai;Elantra GT 4dr hatch;Sedan;Asia;Front;15,4;14,2;2,0;4,0;138,0;26,0;34,0;2698,0;178,0
175;Hyundai;Sonata GLS 4dr;Sedan;Asia;Front;19,3;17,6;2,7;6,0;170,0;19,0;27,0;3217,0;187,0
176;Hyundai;Sonata LX 4dr;Sedan;Asia;Front;20,3;18,4;2,7;6,0;170,0;19,0;27,0;3217,0;187,0
177;Hyundai;XG350 4dr;Sedan;Asia;Front;24,6;22,1;3,5;6,0;194,0;17,0;26,0;3651,0;192,0
178;Hyundai;XG350 L 4dr;Sedan;Asia;Front;26,2;23,5;3,5;6,0;194,0;17,0;26,0;3651,0;192,0
179;Hyundai;Tiburon GT V6 2dr;Sports;Asia;Front;18,7;17,1;2,7;6,0;172,0;19,0;26,0;3023,0;173,0
180;Infiniti;G35 4dr;Sedan;Asia;Rear;28,5;26,2;3,5;6,0;260,0;18,0;26,0;3336,0;187,0
181;Infiniti;G35 Sport Coupe 2dr;Sedan;Asia;Rear;29,8;27,5;3,5;6,0;280,0;18,0;26,0;3416,0;182,0
182;Infiniti;G35 4dr;Sedan;Asia;All;32,4;29,8;3,5;6,0;260,0;18,0;26,0;3677,0;187,0
183;Infiniti;I35 4dr;Sedan;Asia;Front;31,1;28,3;3,5;6,0;255,0;19,0;26,0;3306,0;194,0
184;Infiniti;M45 4dr;Sedan;Asia;Rear;42,8;38,8;4,5;8,0;340,0;17,0;23,0;3851,0;197,0
185;Infiniti;Q45 Luxury 4dr;Sedan;Asia;Rear;52,5;47,6;4,5;8,0;340,0;17,0;23,0;3977,0;200,0
186;Infiniti;FX35;Wagon;Asia;Rear;34,9;31,8;3,5;6,0;280,0;16,0;22,0;4056,0;189,0
187;Infiniti;FX45;Wagon;Asia;All;36,4;33,1;4,5;8,0;315,0;15,0;19,0;4309,0;189,0
188;Isuzu;Ascender S;SUV;Asia;All;31,8;30,0;4,2;6,0;275,0;15,0;20,0;4967,0;208,0
189;Isuzu;Rodeo S;SUV;Asia;Front;20,4;19,3;3,2;6,0;193,0;17,0;21,0;3836,0;178,0
190;Jaguar;X-Type 2.5 4dr;Sedan;Europe;All;30,0;27,4;2,5;6,0;192,0;18,0;26,0;3428,0;184,0
191;Jaguar;X-Type 3.0 4dr;Sedan;Europe;All;34,0;31,0;3,0;6,0;227,0;18,0;25,0;3516,0;184,0
192;Jaguar;S-Type 3.0 4dr;Sedan;Europe;Rear;43,9;40,0;3,0;6,0;235,0;18,0;26,0;3777,0;192,0
193;Jaguar;S-Type 4.2 4dr;Sedan;Europe;Rear;50,0;45,6;4,2;8,0;294,0;18,0;28,0;3874,0;192,0
194;Jaguar;S-Type R 4dr;Sedan;Europe;Rear;63,1;57,5;4,2;8,0;390,0;17,0;24,0;4046,0;192,0
195;Jaguar;Vanden Plas 4dr;Sedan;Europe;Rear;69,0;62,8;4,2;8,0;294,0;18,0;28,0;3803,0;200,0
196;Jaguar;XJ8 4dr;Sedan;Europe;Rear;60,0;54,7;4,2;8,0;294,0;18,0;28,0;3803,0;200,0
197;Jaguar;XJR 4dr;Sedan;Europe;Rear;75,0;68,3;4,2;8,0;390,0;17,0;24,0;3948,0;200,0
198;Jaguar;XK8 coupe 2dr;Sports;Europe;Rear;70,0;63,8;4,2;8,0;294,0;18,0;26,0;3779,0;187,0
199;Jaguar;XK8 convertible 2dr;Sports;Europe;Rear;75,0;68,3;4,2;8,0;294,0;18,0;26,0;3980,0;187,0
200;Jaguar;XKR coupe 2dr;Sports;Europe;Rear;82,0;74,7;4,2;8,0;390,0;16,0;23,0;3865,0;187,0
201;Jaguar;XKR convertible 2dr;Sports;Europe;Rear;87,0;79,2;4,2;8,0;390,0;16,0;23,0;4042,0;187,0
202;Jeep;Grand Cherokee Laredo;SUV;USA;Front;27,9;25,7;4,0;6,0;195,0;16,0;21,0;3790,0;181,0
203;Jeep;Liberty Sport;SUV;USA;All;20,1;19,0;2,4;4,0;150,0;20,0;24,0;3826,0;174,0
204;Jeep;Wrangler Sahara convertible 2dr;SUV;USA;All;25,5;23,3;4,0;6,0;190,0;16,0;19,0;3575,0;150,0
205;Kia;Sorento LX;SUV;Asia;Front;19,6;18,6;3,5;6,0;192,0;16,0;19,0;4112,0;180,0
206;Kia;Optima LX 4dr;Sedan;Asia;Front;16,0;14,9;2,4;4,0;138,0;23,0;30,0;3281,0;186,0
207;Kia;Rio 4dr manual;Sedan;Asia;Front;10,3;9,9;1,6;4,0;104,0;26,0;33,0;2403,0;167,0
208;Kia;Rio 4dr auto;Sedan;Asia;Front;11,2;10,7;1,6;4,0;104,0;25,0;32,0;2458,0;167,0
